[HEADER START]
MeasurementName=B6429
MeasurementDescription=User requested application recording
MeasurementNumber=0
MeasurementStartTime=1/20/2025 11:25:19 AM
MeasurementVersion=7
TestName=Moonsung_Song_20Dec2024_Newtest
Release Number=2 R2.2.2 170518.1730
UutID=Channel_2
RunNumber=1
Testcell Parameter File=Samsung\Samsung_MoonsungSong_20241114092840_Rev.cellx
Stand Parameter File=Samsung\Moonsung_Song2_20241223084750_Rev.standx
Battery Parameter File=Samsung\Moonsung_Song_20250116154634_Rev.batteryx
Test Parameter File=Samsung\Moonsung_Song_20Dec2024_Newtest_20250116155321_Rev.testx
Frequency=1
Last Appending Time=
Number of Appends=0
StandNumber=2
Condition Set=
ChannelConfiguration=StandVariableGroup
Project=Samsung
Test Series=Channel_2
Test=Moonsung_Song_20Dec2024_Newtest
LastUser=AVL
TestcellID=0001
EStopChannel=
Max_Charge_Power=6
Max_Discharge_Power=-6
Max_Charge_Current=90
Max_Discharge_Current=-100
Upper_Voltage_Limit=60
Lower_Voltage_Limit=0
Location=AVL110826212
XAxisChannelName=RecordingTime
XAxisIncrementValue=1
XAxisIncrementValueUnit=s
XAxisStartValue=0
XAxisStartValueUnit=s
XAxisType=ImplicitXAxis
[HEADER END]

[DATA START]
RecordingTime,DateTime,PEC_Measured_Voltage,PEC_Measured_Current,PEC_Measured_Power,PEC_Accumulated_Current_In,PEC_Accumulated_Current_Out,PEC_Accumulated_Power_In,PEC_Accumulated_Power_Out,Vmax,Vmin,Count,Count_2,Timer,Timer_2,HVBatCellVlt_12,HVBatCellVlt_11,HVBatCellVlt_10,HVBatCellVlt_09,HVBatCellVlt_08,HVBatCellVlt_07,HVBatCellVlt_06,HVBatCellVlt_05,HVBatCellVlt_04,HVBatCellVlt_03,HVBatCellVlt_02,HVBatCellVlt_01,HVBatModT_02,HVBatModT_01,Tmax,Tmin
s,DateTime,V,A,kW,Ah,Ah,kWh,kWh,-,-,-,-,-,-,V,V,V,V,V,V,V,V,V,V,V,V,-,-,-,-
Double,String,Float,Float,Float,Double,Double,Double,Double,Float,Float,Long,Long,Long,Long,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Long,Long,Float,Float
0,2025-01-20 11:29:15.644,41.0100,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.461,3.259,2,40,0,0,3.259,3.393,3.440,3.439,3.460,3.440,3.434,3.447,3.446,3.461,3.454,3.365,34,34,34.000,34.00
1,2025-01-20 11:29:16.644,41.0200,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.461,3.259,2,40,0,0,3.259,3.393,3.440,3.440,3.461,3.440,3.433,3.447,3.446,3.461,3.454,3.365,34,34,34.000,34.00
2,2025-01-20 11:29:17.644,41.0200,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.462,3.259,2,40,0,0,3.259,3.393,3.440,3.440,3.460,3.440,3.434,3.447,3.446,3.462,3.454,3.365,34,34,34.000,34.00
3,2025-01-20 11:29:18.644,41.0100,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.462,3.259,2,40,0,0,3.259,3.393,3.441,3.439,3.461,3.440,3.433,3.447,3.446,3.462,3.454,3.364,34,34,34.000,34.00
4,2025-01-20 11:29:19.644,41.0200,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.461,3.260,2,40,0,0,3.260,3.393,3.441,3.439,3.461,3.440,3.433,3.447,3.446,3.461,3.454,3.365,34,34,34.000,34.00
5,2025-01-20 11:29:20.644,41.0100,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.461,3.259,2,40,0,0,3.259,3.393,3.440,3.440,3.460,3.440,3.433,3.447,3.446,3.461,3.454,3.364,34,34,34.000,34.00
6,2025-01-20 11:29:21.644,41.0100,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.461,3.259,2,40,0,0,3.259,3.393,3.440,3.440,3.461,3.440,3.433,3.447,3.446,3.461,3.454,3.365,34,34,34.000,34.00
7,2025-01-20 11:29:22.644,41.0200,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.461,3.259,2,40,0,0,3.259,3.393,3.440,3.440,3.460,3.440,3.433,3.447,3.446,3.461,3.454,3.364,34,34,34.000,34.00
8,2025-01-20 11:29:23.644,41.0200,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.461,3.259,2,40,0,0,3.259,3.393,3.440,3.440,3.460,3.440,3.434,3.447,3.446,3.461,3.454,3.364,34,34,34.000,34.00
9,2025-01-20 11:29:24.644,41.0100,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.461,3.259,2,40,0,0,3.259,3.393,3.440,3.439,3.461,3.440,3.434,3.447,3.446,3.461,3.454,3.364,34,34,34.000,34.00
10,2025-01-20 11:29:25.644,41.0100,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.461,3.259,2,40,0,0,3.259,3.393,3.440,3.439,3.461,3.440,3.433,3.447,3.446,3.461,3.454,3.364,34,34,34.000,34.00
11,2025-01-20 11:29:26.644,41.0200,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.461,3.259,2,40,0,0,3.259,3.393,3.440,3.439,3.460,3.440,3.434,3.447,3.446,3.461,3.454,3.364,34,34,34.000,34.00
12,2025-01-20 11:29:27.644,41.0100,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.461,3.259,2,40,0,0,3.259,3.393,3.440,3.440,3.460,3.440,3.434,3.447,3.446,3.461,3.454,3.364,34,34,34.000,34.00
13,2025-01-20 11:29:28.644,41.0200,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.461,3.259,2,40,0,0,3.259,3.393,3.440,3.440,3.460,3.440,3.433,3.447,3.446,3.461,3.454,3.365,34,34,34.000,34.00
14,2025-01-20 11:29:29.644,41.0100,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.461,3.259,2,40,0,0,3.259,3.393,3.440,3.439,3.461,3.440,3.433,3.447,3.445,3.461,3.454,3.365,34,34,34.000,34.00
15,2025-01-20 11:29:30.644,41.0200,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.461,3.259,2,40,0,0,3.259,3.392,3.440,3.439,3.460,3.440,3.434,3.447,3.446,3.461,3.454,3.365,34,34,34.000,34.00
16,2025-01-20 11:29:31.644,41.0200,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,3.461,3.259,2,40,0,0,3.259,3.393,3.440,3.439,3.461,3.440,3.433,3.447,3.446,3.461,3.454,3.364,34,34,34.000,34.00
